trial_name,KL_divergence,decision_prob_correlation,decision_prob_rmse,discrete_mutual_information,green_given_decision_correlation,green_given_decision_rmse,red_green_ordering,rmse_(R-G),rmse_(|R-G|),rmse_RG,rmse_RGU
E1,0.11922100926026889,0.9864791886072867,0.11890535076852135,1.2294394999232674,0.8361469568375938,0.156086569865108,0.8974358974358975,0.16469892175826625,0.16342530272192335,0.10156797879957123,0.10765777735684094
E10,0.08452453851130838,0.9795217470708596,0.0985518942593626,0.9704211232784172,0.530582566340881,0.05293988244476476,0.975,0.07069899600963965,0.07069899600963965,0.06064409266136239,0.07542742165275704
E11,0.13001074047711472,0.9433260944149967,0.16081407308066561,0.9386221318838879,0.8882313918756684,0.16545819466496564,0.803921568627451,0.2800387416517694,0.26699196203819536,0.1614642862421131,0.161247839845111
E12,0.2592659066697199,0.8886260858352886,0.2191445033524961,0.9661778619494086,0.9115527181721466,0.1501245433655641,0.875,0.26020901592524215,0.23039202108843157,0.17009779930851185,0.18787481293741828
E13,0.11422191298948439,0.986944467095391,0.07050555392852448,0.99805642471822,0.8917989260043004,0.2387931482898414,0.5106382978723404,0.3103750879140242,0.2597672706518849,0.15914123313303055,0.13616521496693057
E14,0.21064448624730767,0.9605768133046375,0.16270672266169747,1.0038664845161225,0.6719135596129305,0.1841266099564417,0.9,0.31664814006261505,0.3161501636264731,0.17800247344097778,0.17305417138526552
E15,0.1723999962655592,0.9768759516675206,0.10108589543390141,1.222354277699099,0.9020772232498255,0.05689425792740224,0.9,0.09534836786954659,0.09534836786954659,0.06947961843422147,0.08139040281508149
E16,0.16436238189763536,0.9846872221876833,0.08342536777829535,1.0598460559683731,0.9407026913469139,0.01837064587216074,0.9459459459459459,0.06956916946330333,0.06934757395983826,0.05431312302003462,0.06547168001846974
E17,0.13057054649531746,0.9753790206853064,0.07225550843783557,1.2318305035556043,0.9663020037550852,0.09583894370276648,0.875,0.15656303380948045,0.13739401998464618,0.08621606876800669,0.08182762273468426
E18,0.12374430470583586,0.9930307345419688,0.06214849810972008,1.079369277604053,0.9750237445725031,0.1405835950545933,0.7142857142857143,0.22253076444683417,0.17743897552596505,0.115523132902664,0.10091848903708878
